model,run,mae,r2,spearman
epoch_only,run-0e25bbe73f49/seed-3127276340,0.08789931467711141,0.20668482933056054,0.9699329247501332
epoch_only,run-0e25bbe73f49/seed-4247511459,0.17393167592336814,0.07174210020701988,0.816079554347752
epoch_only,run-98357fef99fe/seed-4292514521,0.1781234983045582,-0.18673289833072282,0.8333411520026534
epoch_only,run-98357fef99fe/seed-971400669,0.0780612960647929,0.27975714399445417,0.9689947944428015
epoch_only,run-be83c9d3e5af/seed-2325060526,0.2916014010230116,-0.13689093830531496,0.7337401089435224
epoch_only,run-be83c9d3e5af/seed-3549333581,0.22882795508477827,-3.6433499435861476,0.8129455909943716
epoch_only,run-ebbe4035ec6e/seed-1741336945,0.25053318803267033,-3.4371582945631793,0.9903841654499619
epoch_only,run-ebbe4035ec6e/seed-3002361271,0.21870463416743008,-0.31385592813730634,0.8389699338466428
epoch_only,run-ef7523a1358a/seed-1226023601,0.147016110222888,-0.34270771156796953,0.8686432879529986
epoch_only,run-ef7523a1358a/seed-881886696,0.3009504524389689,-0.8232630235507803,0.9855058878518377
epoch_only,run-f856f0c1ae51/seed-2722409734,0.0957229736044657,0.26182788018412495,0.9862563920977028
epoch_only,run-f856f0c1ae51/seed-310190245,0.10449178748146433,0.37492114751148864,0.990571791511428
train_loss_accuracy,run-0e25bbe73f49/seed-3127276340,0.0885245901246761,0.6497374322277454,0.6811764161534691
train_loss_accuracy,run-0e25bbe73f49/seed-4247511459,0.11457332104350151,0.6765308804245098,0.7862470105746073
train_loss_accuracy,run-98357fef99fe/seed-4292514521,0.12217341309378749,0.4732963848353492,0.8200197016385448
train_loss_accuracy,run-98357fef99fe/seed-971400669,0.05921533830573594,0.8179777607531432,0.9481683016200402
train_loss_accuracy,run-be83c9d3e5af/seed-2325060526,0.22362590341680305,0.30984918857187305,0.7087753009390485
train_loss_accuracy,run-be83c9d3e5af/seed-3549333581,0.24574397157499123,-3.72103195876407,0.7752345215759852
train_loss_accuracy,run-ebbe4035ec6e/seed-1741336945,0.26021166438467985,-3.5086272050084455,0.9624278822914804
train_loss_accuracy,run-ebbe4035ec6e/seed-3002361271,0.1659592012887933,0.3230227094372784,0.8400956902154408
train_loss_accuracy,run-ef7523a1358a/seed-1226023601,0.14233406311602695,0.17136136632792642,0.7997748311202592
train_loss_accuracy,run-ef7523a1358a/seed-881886696,0.2508017625781599,-0.23945038640121896,0.9498569361732371
train_loss_accuracy,run-f856f0c1ae51/seed-2722409734,0.09079732093149231,0.6566084899281126,0.9549228398328277
train_loss_accuracy,run-f856f0c1ae51/seed-310190245,0.05772305590829727,0.8861770407640067,0.89263098742601
probe_nuisance,run-0e25bbe73f49/seed-3127276340,0.03644700209366847,0.9039098580139523,0.9806276102537131
probe_nuisance,run-0e25bbe73f49/seed-4247511459,0.02941858389033798,0.9078877263995898,0.7990055827543172
probe_nuisance,run-98357fef99fe/seed-4292514521,0.11598479771534356,0.4282267772498576,0.8389699338466428
probe_nuisance,run-98357fef99fe/seed-971400669,0.033357386152960036,0.9172964608664337,0.9624278822914804
probe_nuisance,run-be83c9d3e5af/seed-2325060526,0.09020224234446433,0.8054354387645919,0.7534491678944227
probe_nuisance,run-be83c9d3e5af/seed-3549333581,0.20497708106533624,-2.2472099330292057,0.8236397748592872
probe_nuisance,run-ebbe4035ec6e/seed-1741336945,0.22797197898879454,-2.4255421563165562,0.9654298992749416
probe_nuisance,run-ebbe4035ec6e/seed-3002361271,0.1057500024667554,0.7251062756600946,0.8522913842107515
probe_nuisance,run-ef7523a1358a/seed-1226023601,0.11807338902360756,0.399613800597976,0.8615124940575105
probe_nuisance,run-ef7523a1358a/seed-881886696,0.3260734022998119,-1.0367077540400484,0.921525400891823
probe_nuisance,run-f856f0c1ae51/seed-2722409734,0.02919901490041692,0.9431806167921216,0.9808152363151798
probe_nuisance,run-f856f0c1ae51/seed-310190245,0.09196437414612312,0.7640033656445624,0.9900089133270293
all_nuisance,run-0e25bbe73f49/seed-3127276340,0.04006684409374457,0.9217495487553504,0.9331582167027347
all_nuisance,run-0e25bbe73f49/seed-4247511459,0.025911416868552473,0.9044860884643938,0.8166424325321511
all_nuisance,run-98357fef99fe/seed-4292514521,0.12028048145836068,0.37281504880107796,0.8363431689861145
all_nuisance,run-98357fef99fe/seed-971400669,0.03572543328742382,0.9217998020718813,0.9718091853647963
all_nuisance,run-be83c9d3e5af/seed-2325060526,0.08081079577497781,0.8169146968931467,0.7523229359543713
all_nuisance,run-be83c9d3e5af/seed-3549333581,0.20545735790088787,-2.2410201606826723,0.8212007504690433
all_nuisance,run-ebbe4035ec6e/seed-1741336945,0.23181085421767006,-2.5183020597050993,0.9853182617903714
all_nuisance,run-ebbe4035ec6e/seed-3002361271,0.13585978010538344,0.5461708288458407,0.8432853332603683
all_nuisance,run-ef7523a1358a/seed-1226023601,0.11188843615303364,0.4910713806588266,0.8273597443475417
all_nuisance,run-ef7523a1358a/seed-881886696,0.3365945590103976,-1.1600438429792295,0.8847506928444245
all_nuisance,run-f856f0c1ae51/seed-2722409734,0.025642891060285417,0.9447606061747359,0.9340963470100663
all_nuisance,run-f856f0c1ae51/seed-310190245,0.08221508633502694,0.8146922056619549,0.9145832366175692
evaluation_accuracy_control,run-0e25bbe73f49/seed-3127276340,0.05380641356069088,0.7168017001487277,0.733064814088509
evaluation_accuracy_control,run-0e25bbe73f49/seed-4247511459,0.1046437767979584,0.6078568877758236,0.6307788614184384
evaluation_accuracy_control,run-98357fef99fe/seed-4292514521,0.12122372176695015,0.3130858423343872,0.7902742975648476
