model,mae,r2,spearman,improvement_over_all_nuisance_mae
epoch_only,0.17965535725212564,0.14645933182904702,0.288412591859727,0.0
train_loss_accuracy,0.1518069671472454,0.4662692667725379,-0.4271041033454169,0.0
probe_nuisance,0.117451604590635,0.5872428615558727,0.433004445230168,0.0
all_nuisance,0.11935532802214537,0.5704362447201632,0.4275549331756672,0.0
evaluation_accuracy_control,0.17558927704545327,0.1948876040843358,-0.14038313657445275,0.0
behavioral_raw_logits,0.14017780909746325,0.49905560163647167,0.46507131073585206,-0.02082248107531788
behavioral_class_centered,0.1401905878812545,0.49919164035335795,0.46544623360587595,-0.020835259859109126
behavioral_scale_normalized,0.11938368334497053,0.659532829174136,0.6958674270770914,-2.8355322825163176e-05
behavioral_probabilities,0.1093900698544218,0.6997192007867306,0.8417949499542444,0.009965258167723562
